CountyState,lon,lat,MajorClassAdmission,Admissions,CountryofBirth,originlon,originlat
"Tarrant County,  Texas",-97.3516558,32.7732044,ImmediateRelatives-Parents,13,Bangladesh,90.356331,23.684994
"Tarrant County,  Texas",-97.3516558,32.7732044,FamilyPreference4th,27,Bangladesh,90.356331,23.684994
"Tarrant County,  Texas",-97.3516558,32.7732044,FamilyPreference2nd,5,Bangladesh,90.356331,23.684994
"Essex County,  Massachusetts",-70.9071236,42.7051144,ImmediateRelatives-Spouses,7,Bangladesh,90.356331,23.684994
"Saint Louis County,  Missouri",-90.4125181,38.6103023,ImmediateRelatives-Spouses,D,Bangladesh,90.356331,23.684994
"Saint Louis County,  Missouri",-90.4125181,38.6103023,ImmediateRelatives-Parents,4,Bangladesh,90.356331,23.684994
"Montgomery County,  Ohio",-84.3542049,39.7620028,ImmediateRelatives-Parents,D,Bangladesh,90.356331,23.684994
"Saint Louis County,  Missouri",-90.4125181,38.6103023,FamilyPreference2nd,6,Bangladesh,90.356331,23.684994
"San Diego County,  California",-117.1610966,32.7157305,EmploymentPreference3rdSkilled,D,Bangladesh,90.356331,23.684994
"San Diego County,  California",-117.1610966,32.7157305,EmploymentPreference2nd,13,Bangladesh,90.356331,23.684994
"Los Angeles County,  California",-118.2436596,34.0522265,EmploymentPreference2nd,4,Bangladesh,90.356331,23.684994
"Los Angeles County,  California",-118.2436596,34.0522265,EmploymentPreference1st,4,Bangladesh,90.356331,23.684994
"Middlesex County,  Massachusetts",-71.2874209,42.467206,FamilyPreference1st,D,Bangladesh,90.356331,23.684994
"Middlesex County,  Massachusetts",-71.2874209,42.467206,EmploymentPreference3rdSkilled,D,Bangladesh,90.356331,23.684994
"Middlesex County,  Massachusetts",-71.2874209,42.467206,EmploymentPreference2nd,6,Bangladesh,90.356331,23.684994
"Monmouth County,  New Jersey",-74.123996,40.2589455,ImmediateRelatives-Parents,D,Bangladesh,90.356331,23.684994
"Monmouth County,  New Jersey",-74.123996,40.2589455,FamilyPreference4th,14,Bangladesh,90.356331,23.684994
"Monmouth County,  New Jersey",-74.123996,40.2589455,EmploymentPreference1st,D,Bangladesh,90.356331,23.684994
"Maricopa County,  Arizona",-112.4291464,33.2917968,RefugeeandAsyleeAdjustments,6,Bangladesh,90.356331,23.684994
"Alameda County,  California",-121.7195459,37.6016892,ImmediateRelatives-Spouses,8,Bangladesh,90.356331,23.684994
"Alameda County,  California",-121.7195459,37.6016892,ImmediateRelatives-Parents,4,Bangladesh,90.356331,23.684994
"Alameda County,  California",-121.7195459,37.6016892,FamilyPreference4th,16,Bangladesh,90.356331,23.684994
"Alameda County,  California",-121.7195459,37.6016892,EmploymentPreference2nd,14,Bangladesh,90.356331,23.684994
"Alameda County,  California",-121.7195459,37.6016892,EmploymentPreference1st,6,Bangladesh,90.356331,23.684994
"Gwinnett County,  Georgia",-84.0167423,33.9190653,ImmediateRelatives-Parents,46,Bangladesh,90.356331,23.684994
"Gwinnett County,  Georgia",-84.0167423,33.9190653,FamilyPreference4th,100,Bangladesh,90.356331,23.684994
"Berks County,  Pennsylvania",-75.9927652,40.3451566,ImmediateRelatives-Spouses,D,Bangladesh,90.356331,23.684994
"Gwinnett County,  Georgia",-84.0167423,33.9190653,FamilyPreference2nd,9,Bangladesh,90.356331,23.684994
"Gwinnett County,  Georgia",-84.0167423,33.9190653,EmploymentPreference3rdSkilled,D,Bangladesh,90.356331,23.684994
"Gwinnett County,  Georgia",-84.0167423,33.9190653,EmploymentPreference2nd,D,Bangladesh,90.356331,23.684994
"Nassau County,  New York",-73.5594128,40.6546145,ImmediateRelatives-Spouses,18,Bangladesh,90.356331,23.684994
"Nassau County,  New York",-73.5594128,40.6546145,ImmediateRelatives-Children,5,Bangladesh,90.356331,23.684994
"Nassau County,  New York",-73.5594128,40.6546145,ImmediateRelatives-Parents,40,Bangladesh,90.356331,23.684994
"Nassau County,  New York",-73.5594128,40.6546145,FamilyPreference4th,67,Bangladesh,90.356331,23.684994
"Nassau County,  New York",-73.5594128,40.6546145,FamilyPreference3rd,10,Bangladesh,90.356331,23.684994
"Nassau County,  New York",-73.5594128,40.6546145,FamilyPreference2nd,11,Bangladesh,90.356331,23.684994
"Polk County,  Iowa",-93.5003454,41.6278423,FamilyPreference4th,D,Bangladesh,90.356331,23.684994
"Jefferson County,  Kentucky",-85.643487,38.1938097,ImmediateRelatives-Parents,D,Bangladesh,90.356331,23.684994
"Jefferson County,  Kentucky",-85.643487,38.1938097,FamilyPreference4th,D,Bangladesh,90.356331,23.684994
"Jefferson County,  Kentucky",-85.643487,38.1938097,FamilyPreference2nd,D,Bangladesh,90.356331,23.684994
"Atlantic County,  New Jersey",-74.6868815,39.5333379,ImmediateRelatives-Parents,47,Bangladesh,90.356331,23.684994
"Atlantic County,  New Jersey",-74.6868815,39.5333379,FamilyPreference4th,71,Bangladesh,90.356331,23.684994
"Atlantic County,  New Jersey",-74.6868815,39.5333379,FamilyPreference2nd,16,Bangladesh,90.356331,23.684994
"Weld County,  Colorado",-104.7158226,40.3920718,RefugeeandAsyleeAdjustments,D,Bangladesh,90.356331,23.684994
"Fairfax County,  Virginia",-77.2405153,38.9085472,EmploymentPreference2nd,D,Bangladesh,90.356331,23.684994
"Collin County,  Texas",-96.4929797,33.1795213,EmploymentPreference3rdSkilled,D,Bangladesh,90.356331,23.684994
"Collin County,  Texas",-96.4929797,33.1795213,EmploymentPreference2nd,10,Bangladesh,90.356331,23.684994
"Cobb County,  Georgia",-84.564147,33.8999297,ImmediateRelatives-Spouses,D,Bangladesh,90.356331,23.684994
"Cobb County,  Georgia",-84.564147,33.8999297,ImmediateRelatives-Parents,10,Bangladesh,90.356331,23.684994
"Cobb County,  Georgia",-84.564147,33.8999297,FamilyPreference4th,20,Bangladesh,90.356331,23.684994
"Cobb County,  Georgia",-84.564147,33.8999297,EmploymentPreference3rdSkilled,D,Bangladesh,90.356331,23.684994
"Cobb County,  Georgia",-84.564147,33.8999297,EmploymentPreference2nd,D,Bangladesh,90.356331,23.684994
"Mecklenburg County,  North Carolina",-80.8543847,35.2632655,RefugeeandAsyleeAdjustments,D,Bangladesh,90.356331,23.684994
"Mecklenburg County,  North Carolina",-80.8543847,35.2632655,EmploymentPreference3rdSkilled,D,Bangladesh,90.356331,23.684994
"Delaware County,  Pennsylvania",-75.3878525,39.907793,FamilyPreference4th,28,Bangladesh,90.356331,23.684994
"Mecklenburg County,  North Carolina",-80.8543847,35.2632655,FamilyPreference2nd,D,Bangladesh,90.356331,23.684994
"Dallas County,  Texas",-96.8350999,32.8024682,ImmediateRelatives-Children,6,Bangladesh,90.356331,23.684994
"Bernalillo County,  New Mexico",-106.6291304,35.0177854,Other,D,Bangladesh,90.356331,23.684994
"Dallas County,  Texas",-96.8350999,32.8024682,FamilyPreference4th,48,Bangladesh,90.356331,23.684994
"Onondaga County,  New York",-76.1783739,43.026819,RefugeeandAsyleeAdjustments,D,Bangladesh,90.356331,23.684994
"Montgomery County,  Pennsylvania",-75.3878525,40.2290075,ImmediateRelatives-Spouses,16,Bangladesh,90.356331,23.684994
"Montgomery County,  Pennsylvania",-75.3878525,40.2290075,ImmediateRelatives-Parents,41,Bangladesh,90.356331,23.684994
"DeKalb County,  Georgia",-84.2278796,33.7956441,RefugeeandAsyleeAdjustments,D,Bangladesh,90.356331,23.684994
"DeKalb County,  Georgia",-84.2278796,33.7956441,ImmediateRelatives-Spouses,25,Bangladesh,90.356331,23.684994
"DeKalb County,  Georgia",-84.2278796,33.7956441,ImmediateRelatives-Parents,55,Bangladesh,90.356331,23.684994
"DeKalb County,  Georgia",-84.2278796,33.7956441,FamilyPreference4th,68,Bangladesh,90.356331,23.684994
"DeKalb County,  Georgia",-84.2278796,33.7956441,FamilyPreference3rd,4,Bangladesh,90.356331,23.684994
"DeKalb County,  Georgia",-84.2278796,33.7956441,EmploymentPreference3rdSkilled,D,Bangladesh,90.356331,23.684994
"DeKalb County,  Georgia",-84.2278796,33.7956441,ImmediateRelatives-Children,5,Bangladesh,90.356331,23.684994
"DeKalb County,  Georgia",-84.2278796,33.7956441,FamilyPreference2nd,17,Bangladesh,90.356331,23.684994
"DeKalb County,  Georgia",-84.2278796,33.7956441,EmploymentPreference2nd,5,Bangladesh,90.356331,23.684994
"Hudson County,  New Jersey",-74.0535126,40.7453199,ImmediateRelatives-Parents,10,Bangladesh,90.356331,23.684994
"Hudson County,  New Jersey",-74.0535126,40.7453199,ImmediateRelatives-Children,D,Bangladesh,90.356331,23.684994
"Hudson County,  New Jersey",-74.0535126,40.7453199,FamilyPreference4th,15,Bangladesh,90.356331,23.684994
"Hudson County,  New Jersey",-74.0535126,40.7453199,FamilyPreference2nd,D,Bangladesh,90.356331,23.684994
"Hudson County,  New Jersey",-74.0535126,40.7453199,ImmediateRelatives-Spouses,4,Bangladesh,90.356331,23.684994
"Hudson County,  New Jersey",-74.0535126,40.7453199,EmploymentPreference1st,D,Bangladesh,90.356331,23.684994
"Essex County,  New Jersey",-74.2648829,40.7947466,ImmediateRelatives-Parents,10,Bangladesh,90.356331,23.684994
"Essex County,  New Jersey",-74.2648829,40.7947466,FamilyPreference4th,24,Bangladesh,90.356331,23.684994
"Essex County,  New Jersey",-74.2648829,40.7947466,FamilyPreference2nd,D,Bangladesh,90.356331,23.684994
"Essex County,  New Jersey",-74.2648829,40.7947466,FamilyPreference1st,D,Bangladesh,90.356331,23.684994
"Westchester County,  New York",-73.7948516,41.1220194,ImmediateRelatives-Spouses,D,Bangladesh,90.356331,23.684994
"Westchester County,  New York",-73.7948516,41.1220194,ImmediateRelatives-Parents,27,Bangladesh,90.356331,23.684994
"Westchester County,  New York",-73.7948516,41.1220194,FamilyPreference2nd,4,Bangladesh,90.356331,23.684994
"Westchester County,  New York",-73.7948516,41.1220194,FamilyPreference1st,D,Bangladesh,90.356331,23.684994
"Saint Lucie County,  Florida",-80.543845,27.3225563,ImmediateRelatives-Spouses,D,Bangladesh,90.356331,23.684994
"Westchester County,  New York",-73.7948516,41.1220194,EmploymentPreference2nd,D,Bangladesh,90.356331,23.684994
"District of Columbia County,  District of Columbia",-77.0368707,38.9071923,ImmediateRelatives-Children,D,Bangladesh,90.356331,23.684994
"Bucks County,  Pennsylvania",-75.2479061,40.4107964,FamilyPreference2nd,D,Bangladesh,90.356331,23.684994
"Anne Arundel County,  Maryland",-76.5488232,38.9530109,ImmediateRelatives-Spouses,D,Bangladesh,90.356331,23.684994
"Anne Arundel County,  Maryland",-76.5488232,38.9530109,ImmediateRelatives-Parents,5,Bangladesh,90.356331,23.684994
"Anne Arundel County,  Maryland",-76.5488232,38.9530109,DiversityProgram,D,Bangladesh,90.356331,23.684994
"District of Columbia County,  District of Columbia",-77.0368707,38.9071923,EmploymentPreference3rdSkilled,D,Bangladesh,90.356331,23.684994
"District of Columbia County,  District of Columbia",-77.0368707,38.9071923,EmploymentPreference1st,5,Bangladesh,90.356331,23.684994
"Albany County,  New York",-73.9359821,42.5756797,RefugeeandAsyleeAdjustments,5,Bangladesh,90.356331,23.684994
"Albany County,  New York",-73.9359821,42.5756797,FamilyPreference4th,4,Bangladesh,90.356331,23.684994
"Albany County,  New York",-73.9359821,42.5756797,ImmediateRelatives-Parents,14,Bangladesh,90.356331,23.684994
"Albany County,  New York",-73.9359821,42.5756797,FamilyPreference2nd,D,Bangladesh,90.356331,23.684994
"Albany County,  New York",-73.9359821,42.5756797,EmploymentPreference2nd,D,Bangladesh,90.356331,23.684994
"Clark County,  Nevada",-115.094045,36.0795613,ImmediateRelatives-Parents,5,Bangladesh,90.356331,23.684994
"Manatee County,  Florida",-82.345189,27.4799195,FamilyPreference2nd,D,Bangladesh,90.356331,23.684994
"Prince Georges County,  Maryland",-76.8720961,38.7849211,EmploymentPreference3rdSkilled,D,Bangladesh,90.356331,23.684994
"Prince Georges County,  Maryland",-76.8720961,38.7849211,ImmediateRelatives-Parents,13,Bangladesh,90.356331,23.684994
"Prince Georges County,  Maryland",-76.8720961,38.7849211,ImmediateRelatives-Spouses,8,Bangladesh,90.356331,23.684994
"Prince Georges County,  Maryland",-76.8720961,38.7849211,FamilyPreference4th,18,Bangladesh,90.356331,23.684994
"San Bernardino County,  California",-116.419389,34.9592083,ImmediateRelatives-Children,D,Bangladesh,90.356331,23.684994
"Prince Georges County,  Maryland",-76.8720961,38.7849211,EmploymentPreference2nd,D,Bangladesh,90.356331,23.684994
"Prince Georges County,  Maryland",-76.8720961,38.7849211,EmploymentPreference3rdUnskilled,D,Bangladesh,90.356331,23.684994
"Prince Georges County,  Maryland",-76.8720961,38.7849211,ImmediateRelatives-Children,D,Bangladesh,90.356331,23.684994
"Broward County,  Florida",-80.365865,26.190096,FamilyPreference2nd,17,Bangladesh,90.356331,23.684994
"Broward County,  Florida",-80.365865,26.190096,FamilyPreference1st,D,Bangladesh,90.356331,23.684994
"Broward County,  Florida",-80.365865,26.190096,EmploymentPreference3rdUnskilled,4,Bangladesh,90.356331,23.684994
"Broward County,  Florida",-80.365865,26.190096,EmploymentPreference3rdSkilled,8,Bangladesh,90.356331,23.684994
"Broward County,  Florida",-80.365865,26.190096,EmploymentPreference2nd,D,Bangladesh,90.356331,23.684994
"Hartford County,  Connecticut",-72.8042797,41.7924343,ImmediateRelatives-Spouses,18,Bangladesh,90.356331,23.684994
"Salt Lake County,  Utah",-111.9522491,40.644188,ImmediateRelatives-Spouses,D,Bangladesh,90.356331,23.684994
"Washtenaw County,  Michigan",-83.8473015,42.3076493,ImmediateRelatives-Spouses,D,Bangladesh,90.356331,23.684994
"Williamson County,  Texas",NA,NA,ImmediateRelatives-Parents,5,Bangladesh,90.356331,23.684994
"Salt Lake County,  Utah",-111.9522491,40.644188,EmploymentPreference1st,D,Bangladesh,90.356331,23.684994
"Williamson County,  Texas",NA,NA,EmploymentPreference2nd,5,Bangladesh,90.356331,23.684994
"Oakland County,  Michigan",-83.336188,42.5921924,FamilyPreference4th,25,Bangladesh,90.356331,23.684994
"Bexar County,  Texas",-98.5721016,29.4200763,ImmediateRelatives-Spouses,D,Bangladesh,90.356331,23.684994
"Bexar County,  Texas",-98.5721016,29.4200763,EmploymentPreference2nd,D,Bangladesh,90.356331,23.684994
"Bexar County,  Texas",-98.5721016,29.4200763,ImmediateRelatives-Parents,D,Bangladesh,90.356331,23.684994
"Bexar County,  Texas",-98.5721016,29.4200763,RefugeeandAsyleeAdjustments,D,Bangladesh,90.356331,23.684994
"Orange County,  California",-117.8311428,33.7174708,RefugeeandAsyleeAdjustments,D,Bangladesh,90.356331,23.684994
"Orange County,  California",-117.8311428,33.7174708,ImmediateRelatives-Spouses,6,Bangladesh,90.356331,23.684994
"Orange County,  California",-117.8311428,33.7174708,ImmediateRelatives-Children,D,Bangladesh,90.356331,23.684994
"Orange County,  California",-117.8311428,33.7174708,ImmediateRelatives-Parents,12,Bangladesh,90.356331,23.684994
"Orange County,  California",-117.8311428,33.7174708,FamilyPreference4th,31,Bangladesh,90.356331,23.684994
"Orange County,  California",-117.8311428,33.7174708,EmploymentPreference2nd,6,Bangladesh,90.356331,23.684994
"Orange County,  California",-117.8311428,33.7174708,EmploymentPreference1st,D,Bangladesh,90.356331,23.684994
"Sonoma County,  California",-122.9888319,38.5779555,ImmediateRelatives-Parents,4,Bangladesh,90.356331,23.684994
"Collier County,  Florida",-81.4278984,26.069985,EmploymentPreference3rdSkilled,D,Bangladesh,90.356331,23.684994
"Norfolk County,  Massachusetts",-71.1448516,42.17668,ImmediateRelatives-Spouses,D,Bangladesh,90.356331,23.684994
"Norfolk County,  Massachusetts",-71.1448516,42.17668,ImmediateRelatives-Children,D,Bangladesh,90.356331,23.684994
"Norfolk County,  Massachusetts",-71.1448516,42.17668,ImmediateRelatives-Parents,4,Bangladesh,90.356331,23.684994
"Norfolk County,  Massachusetts",-71.1448516,42.17668,FamilyPreference4th,D,Bangladesh,90.356331,23.684994
"Norfolk County,  Massachusetts",-71.1448516,42.17668,EmploymentPreference2nd,8,Bangladesh,90.356331,23.684994
"Denton County,  Texas",-97.179026,33.1418611,FamilyPreference4th,11,Bangladesh,90.356331,23.684994
"Maricopa County,  Arizona",-112.4291464,33.2917968,ImmediateRelatives-Spouses,13,Bangladesh,90.356331,23.684994
"Fort Bend County,  Texas",-95.8142885,29.5692614,ImmediateRelatives-Spouses,6,Bangladesh,90.356331,23.684994
"Fort Bend County,  Texas",-95.8142885,29.5692614,ImmediateRelatives-Children,D,Bangladesh,90.356331,23.684994
"Fort Bend County,  Texas",-95.8142885,29.5692614,ImmediateRelatives-Parents,4,Bangladesh,90.356331,23.684994
